file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,106,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,107,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,108,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,13
style.css,109,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,110,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,4
style.css,111,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,23
style.css,112,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,113,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,114,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,3
style.css,115,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,39
style.css,116,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,41
style.css,117,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,39
style.css,118,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,119,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,120,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,11
style.css,121,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,69
style.css,122,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,123,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,124,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,18
style.css,125,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,17
style.css,126,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,7
style.css,127,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,9
style.css,128,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,19
style.css,129,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,2,13
style.css,130,css,677198e8,derrickdollesin,2025-10-17,17:45:50,-07:00,2025-10-17T17:45:50-07:00,0,0
style.css,131,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,0
style.css,132,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,17
style.css,133,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,12
style.css,134,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,61
style.css,135,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,17
style.css,136,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,33
style.css,137,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,0
style.css,138,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,0
style.css,139,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,40
style.css,140,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,17
style.css,141,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,10
style.css,142,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,16
style.css,143,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,0
style.css,144,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,0
style.css,145,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,41
style.css,146,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,0,17
style.css,147,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,10
style.css,148,css,fd720d69,derrickdollesin,2025-10-24,15:57:38,-07:00,2025-10-24T15:57:38-07:00,1,8
style.css,149,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,150,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,151,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,5
style.css,152,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,23
style.css,153,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,33
style.css,154,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,155,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,156,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,10
style.css,157,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,158,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,18
style.css,159,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,14
style.css,160,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,16
style.css,161,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,162,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,16
style.css,163,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,164,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,165,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,10
style.css,166,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,7
style.css,167,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,12
style.css,168,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,57
style.css,169,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,15
style.css,170,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,36
style.css,171,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,18
style.css,172,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,11
style.css,173,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,15
style.css,174,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,6
style.css,175,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,176,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,177,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,16
style.css,178,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,12
style.css,179,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,18
style.css,180,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,9
style.css,181,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,15
style.css,182,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,183,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,184,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,15
style.css,185,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,9
style.css,186,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,10
style.css,187,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,29
style.css,188,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,17
style.css,189,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,190,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,191,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,10
style.css,192,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,12
style.css,193,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,18
style.css,194,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,2,7
style.css,195,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,196,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,0
style.css,197,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,0,10
style.css,198,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,13
style.css,199,css,11c6619e,derrickdollesin,2025-10-31,13:39:15,-07:00,2025-10-31T13:39:15-07:00,1,53
